character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
屿,islet,,,2299,,yǔ,mountain + offer,⿰ (left-right),⿰山与,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">与</span> <span style=""color:#666"">offer</span>",TH: 嶼 | JP: 嶼,RSH,RSH2::L33
岁,years of age,,,691,,suì,mountain + evening,⿱ (top-bottom),⿱山夕,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">夕</span> <span style=""color:#666"">evening</span>",TH: 歲 | JP: 歳,RSH,RSH1::L23
岂,(rhetorical question),,,1934,,kǎi / qǐ,mountain + snake,⿱ (top-bottom),⿱山己,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">己</span> <span style=""color:#666"">self</span> <span style=""color:#999"">(alias: snake)</span>",TH: 豈 | JP: 豈,RSH,RSH2::L23
岔,diverge,,,1946,,chà,part + mountain,⿱ (top-bottom),⿱分山,"<span style=""color:#1a5276"">分</span> <span style=""color:#666"">part</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",,RSH RTH,RSH2::L23
岗,hillock,,,2540,,gǎng,mountain + ridge of a hill,⿱ (top-bottom),⿱山冈,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">冈</span> <span style=""color:#666"">ridge of a hill</span>",TH: 崗 | JP: 崗,RSH,RSH2::L38
岛,island,,,1442,,dǎo,bird + mountain,⿹ (top-right-wrap),⿹{53}山,"<span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",TH: 島 | JP: 島,RSH,RSH1::L52 RSH1::L52
岩,rock,,,1927,,yán,mountain + stone,⿱ (top-bottom),⿱山石,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span>",,RSH RTH RTK,RSH2::L23
岭,mountain range,,,2440,,lǐng,mountain + orders,⿰ (left-right),⿰山令,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">令</span> <span style=""color:#666"">orders</span>",TH: 嶺 | JP: 嶺,RSH,RSH2::L36
岳,Yue,,,3009,,yuè,hill + mountain,⿱ (top-bottom),⿱丘山,"<span style=""color:#1a5276"">丘</span> <span style=""color:#666"">hill</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",,RSH RTH RTK,RSH2::Postscript
岸,shore,,,1280,,àn,mountain + cliff + clothesline,⿱ (top-bottom),⿱山厈,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",,RSH RTH RTK,RSH1::L42
峡,gorge,,,1936,,xiá,mountain + press from both sides,⿰ (left-right),⿰山夹,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">夹</span> <span style=""color:#666"">press from both sides</span>",TH: 峽,RSH RTK,RSH2::L23
峭,precipitous,,,1928,,qiào,mountain + candle,⿰ (left-right),⿰山肖,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">肖</span> <span style=""color:#666"">resemble</span> <span style=""color:#999"">(alias: candle)</span>",,RSH,RSH2::L23
峰,peak,,,2589,,fēng,mountain + briar,⿰ (left-right),⿰山夆,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">夆</span> <span style=""color:#666"">briar</span>",,RSH RTH RTK,RSH2::L39
峻,lofty,,,2476,,jùn,mountain + streetwalker,⿰ (left-right),⿰山夋,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">夋</span> <span style=""color:#666"">streetwalker</span>",,RSH RTH RTK,RSH2::L37
崇,worship,,,909,,chóng,mountain + religion,⿱ (top-bottom),⿱山宗,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">宗</span> <span style=""color:#666"">religion</span>",,RSH RTH RTK,RSH1::L29
崎,rugged,,,1929,,qí,mountain + strange,⿰ (left-right),⿰山奇,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">奇</span> <span style=""color:#666"">strange</span>",,RSH RTH RTK,RSH2::L23
崔,Cui,pterodactyl,,1937,,cuī,mountain + turkey,⿱ (top-bottom),⿱山隹,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">隹</span> <span style=""color:#666"">turkey</span>",,RSH RTH,RSH2::L23 primitive
崖,cliff,,,1930,,yá,mountain + cliff + bricks,⿱ (top-bottom),⿱山厓,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">圭</span> <span style=""color:#666"">bricks</span>",,RSH RTH RTK,RSH2::L23
崩,crumble,,,1926,,bēng,mountain + companion,⿱ (top-bottom),⿱山朋,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">朋</span> <span style=""color:#666"">companion</span>",,RSH RTH RTK,RSH2::L23
崭,towering,,,2190,,chán / zhǎn,mountain + hew,⿱ (top-bottom),⿱山斩,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">斩</span> <span style=""color:#666"">hew</span>",TH: 嶄 | JP: 嶄,RSH,RSH2::L30
嵌,set,,,2730,,kǎn / qiàn,mountain + wicker basket + yawn,⿱ (top-bottom),⿱山𣢟,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">甘</span> <span style=""color:#666"">sweet</span> <span style=""color:#999"">(alias: wicker basket)</span><br><span style=""color:#1a5276"">欠</span> <span style=""color:#666"">lack</span> <span style=""color:#999"">(alias: yawn)</span>",,RSH RTK,RSH2::L45
川,stream,flood,,134,,Chuān / chuān,drop + walking stick + walking stick,⿲ (left-mid-right),⿲丿丨丨,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L08 primitive
州,state,,,135,,zhōu,a drop of + stream,⿻ (overlaid),⿻川{86},"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">川</span> <span style=""color:#666"">stream</span> <span style=""color:#999"">(alias: flood)</span>",,RSH RTH RTK,RSH1::L08
巡,patrol,,,296,,xún,flood + road,⿺ (bottom-left-wrap),⿺辶巛,"<span style=""color:#1a5276"">川</span> <span style=""color:#666"">stream</span> <span style=""color:#999"">(alias: flood)</span><br><span style=""color:#1a5276"">辶</span> <span style=""color:#666"">road</span>",,RSH RTH RTK,RSH1::L13
巢,nest,,,2179,,cháo,stream + fruit,⿱ (top-bottom),⿱巛果,"<span style=""color:#1a5276"">川</span> <span style=""color:#666"">stream</span> <span style=""color:#999"">(alias: flood)</span><br><span style=""color:#1a5276"">果</span> <span style=""color:#666"">fruit</span>",JP: 巣,RSH RTH,RSH2::L29
工,work,I-beam,,76,,gōng,floor + walking stick + floor,⿱ (top-bottom),⿱丅一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L05 primitive
左,left,,,77,,zuǒ,by one’s side + work,⿸ (top-left-wrap),⿸𠂇工,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span><br><span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span>",,RSH RTH RTK,RSH1::L05
巧,adroit,,,1026,,qiǎo,I-beam + snare,⿰ (left-right),⿰工丂,"<span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span><br><span style=""color:#1a5276"">丂</span> <span style=""color:#666"">snare</span>",,RSH RTH RTK,RSH1::L32
巨,gigantic,giant,,2681,,jù,box,⿷ (surround-open-right),⿷匚{50},"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span>",,RSH RTH RTK,RSH2::L43 primitive
巩,strengthen,,,1513,,gǒng,I-beam + ordinary,⿰ (left-right),⿰工凡,"<span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span><br><span style=""color:#1a5276"">凡</span> <span style=""color:#666"">ordinary</span>",TH: 鞏 | JP: 鞏,RSH,RSH2::L05
巫,witch,,,850,,Wū / wū,I-beam + assembly line,⿻ (overlaid),⿻工从,"<span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span><br><span style=""color:#1a5276"">从</span> <span style=""color:#666"">follow</span> <span style=""color:#999"">(alias: assembly line)</span>",,RSH RTH RTK,RSH1::L26
差,fall short of,,,535,,chā / chà / chāi / cī,wool + I-beam,⿸ (top-left-wrap),⿸⺶工,"<span style=""color:#1a5276"">囧差－工</span> <span style=""color:#666"">wool</span><br><span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span>",,RSH RTH RTK,RSH1::L20
己,self,snake,,515,,jǐ,,,己,,,RSH RTH RTK,RSH1::L20 primitive
已,already,snakeskin,,519,,yǐ,snake,,已,"<span style=""color:#1a5276"">己</span> <span style=""color:#666"">self</span> <span style=""color:#999"">(alias: snake)</span>",,RSH RTH RTK,RSH1::L20 primitive
巴,crust,mosaic,,1328,,Bā / bā,snakeskin + walking stick,⿻ (overlaid),⿻巳丨,"<span style=""color:#1a5276"">巳</span> <span style=""color:#666"">snakeskin</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L44 primitive
巷,lane,,,1358,,xiàng,together + snakeskin,⿱ (top-bottom),⿱共巳,"<span style=""color:#1a5276"">共</span> <span style=""color:#666"">together</span><br><span style=""color:#1a5276"">已</span> <span style=""color:#666"">already</span> <span style=""color:#999"">(alias: snakeskin)</span>",,RSH RTH,RSH1::L46
巾,towel,,,410,,jīn,glass cover + walking stick,⿻ (overlaid),⿻冂丨,"<span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L18
币,currency,,,1682,,bì,eyedropper + towel,⿱ (top-bottom),⿱㇒巾,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",TH: 幣 | JP: 幣,RSH,RSH2::L18
市,market,,,419,,shì,towel + top hat,⿱ (top-bottom),⿱亠巾,"<span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span><br><span style=""color:#1a5276"">亠</span> <span style=""color:#666"">top hat</span>",,RSH RTH RTK,RSH1::L18
布,cloth,,,414,,bù,by one’s side + towel,⿸ (top-left-wrap),⿸𠂇巾,"<span style=""color:#1a5276"">𠂇</span> <span style=""color:#666"">by one’s side</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",,RSH RTH RTK,RSH1::L18
帅,commander,,,411,,shuài,saber + towel,⿰ (left-right),⿰{49}巾,"<span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: saber)</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",TH: 帥 | JP: 帥,RSH,RSH1::L18
帆,sail,,,1685,,fān,towel + ordinary,⿰ (left-right),⿰巾凡,"<span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span><br><span style=""color:#1a5276"">凡</span> <span style=""color:#666"">ordinary</span>",,RSH RTH RTK,RSH2::L18
师,teacher,,,412,,shī,commander + ceiling,⿰ (left-right),⿰{49}帀,"<span style=""color:#1a5276"">帅</span> <span style=""color:#666"">commander</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span>",TH: 師 | JP: 師,RSH,RSH1::L18
希,hope,,,1167,,xī,sheaf + cloth,⿱ (top-bottom),⿱㐅布,"<span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">布</span> <span style=""color:#666"">cloth</span>",,RSH RTH RTK,RSH1::L38
帐,tent,,,2856,,zhàng,towel + long,⿰ (left-right),⿰巾长,"<span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span><br><span style=""color:#1a5276"">长</span> <span style=""color:#666"">long</span>",TH: 帳 | JP: 帳,RSH,RSH2::L51
帕,handkerchief,,,1683,,pà,towel + white,⿰ (left-right),⿰巾白,"<span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird, dove)</span>",,RSH RTH,RSH2::L18
帖,note,,,1684,,tiē / tiě / tiè,towel + tell fortunes,⿰ (left-right),⿰巾占,"<span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span><br><span style=""color:#1a5276"">占</span> <span style=""color:#666"">tell fortunes</span>",,RSH RTH RTK,RSH2::L18
帘,drapes,,,2355,,lián,hole + towel,⿱ (top-bottom),⿱穴巾,"<span style=""color:#1a5276"">穴</span> <span style=""color:#666"">hole</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",TH: 簾 | JP: 簾,RSH,RSH2::L34
帛,white towel,,,,,bó,white + towel,⿱ (top-bottom),⿱白巾,"<span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird, dove)</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",,RSH RTH RTK,RSH1::L18 primitive
帜,streamer,,,415,,zhì,towel + mouth + animal legs,⿰ (left-right),⿰巾只,"<span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span>",TH: 幟 | JP: 幟,RSH,RSH1::L18
帝,sovereign,,,449,,dì,standing up + apron,⿱ (top-bottom),⿱{83}巾,"<span style=""color:#1a5276"">立</span> <span style=""color:#666"">standing up</span> <span style=""color:#999"">(alias: vase)</span><br><span style=""color:#1a5276"">囧冖＋巾</span> <span style=""color:#666"">apron</span>",,RSH RTH RTK,RSH1::L18
带,sash,,,421,,dài,apron + one + small,⿳ (top-mid-bottom),⿳⿻卄丨冖巾,"<span style=""color:#1a5276"">囧冖＋巾</span> <span style=""color:#666"">apron</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",TH: 帶 | JP: 帯,RSH,RSH1::L18
席,mat,,,979,,xí,caverns + towel,⿸ (top-left-wrap),⿸广⿱廿巾,"<span style=""color:#1a5276"">囧席－巾</span> <span style=""color:#666"">caverns</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",,RSH RTH RTK,RSH1::L31
帮,help,,,1386,,bāng,bushes + city walls + towel,⿱ (top-bottom),⿱邦巾,"<span style=""color:#1a5276"">丰</span> <span style=""color:#666"">plentiful</span> <span style=""color:#999"">(alias: bushes)</span><br><span style=""color:#1a5276"">囧阝</span> <span style=""color:#666"">city walls</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",TH: 幫 | JP: 幫,RSH,RSH1::L48
常,often,,,705,,cháng,outhouse + towel,⿱ (top-bottom),⿱龸吊,"<span style=""color:#1a5276"">囧赏－贝</span> <span style=""color:#666"">outhouse</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",,RSH RTH RTK,RSH1::L24
帽,hat,,,416,,mào,risk + towel,⿰ (left-right),⿰巾冒,"<span style=""color:#1a5276"">冒</span> <span style=""color:#666"">risk</span><br><span style=""color:#1a5276"">巾</span> <span style=""color:#666"">towel</span>",,RSH RTH RTK,RSH1::L18
